#"Circumstellar Disks http://www.circumstellardisks.org/"
#"Downloaded on Apr. 26 2020"
#"Database maintained by Karl Stapelfeldt. Last updated Apr. 14 2020"
Object,Category,"Spec Type","R band (mag)","Distance (pc)","Disk Major Axis &quot;","Disk Diameter (AU)","Inclination (degrees)","Resolution elements across","At ref. wavelength (microns)","RA (J2000)","DEC (J2000)"
"49 Cet",Debris,A1,5.6,59,9.8,578,79,24.5,850,"01 34 37.78","-15 40 34.9"
"61 Vir",Debris,G7V,4.2,8.5,22,187,77,3.7,70,"13 18 24.31","-18 18 40.3"
"99 Her",Debris,F7+K4,4.7,15.6,15.4,240,50,2.8,70,"18 07 01.54","+30 33 43.7"
"AB Aur",HAe,A0e,7.1,144,18,2592,22,360,0.57,"04 55 45.93","+30 33 03.6"
"alpha CrB",Debris,"A0 V",2.2,23,4,92,80,0.7,11.2,"15 34 41.27","+26 42 52.9"
"beta Leo",Debris,A3V,2,11.1,7.1,79,32,1.2,100,"11 49 03.58","+14 34 19.4"
"beta Pictoris",Debris,A5,3.9,19.3,26,502,90,520,0.6,"05 47 17.09","-51 03 59.5"
"beta Tri",Debris,"A5 III",2.9,38.9,5.6,218,41,1.4,70,"02 09 32.63","+34 59 14.3"
"beta UMa",Debris,A1V,2.3,24.3,3.8,92.34,84,0.7,100,"11 01 50.48","+56 22 56.7"
"epsilon Eri",Debris,K2,3.8,3.22,43,138,34,26.9,1300,"03 32 55.84","-09 27 29.7"
"eta Crv",Debris,"F2 V",4.4,18.2,16.7,304,35,13.9,880,"12 32 04.23","-16 11 45.6"
Fomalhaut,Debris,A3,1.2,7.2,41,295,66,820,0.6,"22 57 39.05","-29 37 20.1"
"gamma Dor",Debris,F1,4,20.5,12,246,69,,70,"04 16 01.58","-51 29 11.9"
"gamma Oph",Debris,A0,3.7,29.1,36,1048,50,2.1,70,"17 47 53.56","+02 42 26.2"
"gamma Tri",Debris,A1V,3.9,34.4,8,275,83,,70,"02 17 18.87","+33 50 49.9"
"HD 100453",HAe,A9Ve,7.8,103,0.84,87,38,40.7,0.8,"11 33 05.57","-54 19 28.5"
"HD 100546",HAe,B9,6.7,103,7,721,51,50,1.6,"11 33 25.44","-70 11 41.2"
"HD 104860",Debris,F8,8,47.9,5.2,249,54,0.9,100,"12 04 33.73","+66 20 11.7"
"HD 10647",Debris,"F8 V",5.5,17.35,37,642,52,2.5,870,"01 42 29.32","-53 44 27.0"
"HD 107146",Debris,G2,6.7,27.5,16,440,18,320,0.6,"12 19 06.50","+16 32 53.9"
"HD 10939",Debris,A1V,5.12,57,5.6,319,32,1.4,70,"01 46 06.26","-53 31 19.3"
"HD 110058",Debris,A0,7.99,107,2.24,240,50,1.6,1240,"12 39 46.20","-49 11 55.5"
"HD 113766",Debris,F3/5,7.96,123,1.13,139,70,0.8,1240,"13 06 35.84","-46 02 02.0"
"HD 117214",Debris,F6V,7.6,108,0.84,91,71,15.5,2.1,"13 30 08.97","-58 29 04.4"
"HD 131835",Debris,A2IV,7.95,120,3.5,420,75.1,82.3,1.65,"14 56 54.47","-35 41 43.7"
"HD 138813",Debris,A0,7.32,151,1.85,279,28,1.9,1240,"15 35 16.11","-25 44 03.0"
"HD 138965",Debris,A1V,6.51,77.3,4.8,371,37,0.8,100,"15 40 11.56","-70 13 40.4"
"HD 139664",Debris,"F5 IV-V",4.7,17.5,12,210,87,240,0.6,"15 41 11.38","-44 39 40.3"
"HD 141378",Debris,A5IV,5.61,49.2,4.8,236,15,0.8,100,"15 48 56.80","-03 49 06.6"
"HD 141569A",Trans,B9.5,7.1,99,7.5,743,51,83.3,1.1,"15 49 57.76","-03 55 16.2"
"HD 141943",Debris,G2V,7.5,67,5,335,85,52.9,1.1,"15 53 27.29","+15 50 02.4"
"HD 15115",Debris,F2,6.8,45,19.8,891,80,383.9,0.6,"02 26 16.25","+06 17 33.1"
"HD 153053",Debris,A5IV,5.72,50.7,7.4,375,37,1.3,100,"17 00 06.28","-54 35 49.8"
"HD 156623",Debris,A0V,7.28,118,2.54,300,30,1.9,1240,"17 20 50.62","-45 25 14.5"
"HD 15745",Debris,F2,7.5,64,7.5,480,52,145.4,0.6,"02 32 55.81","+37 20 01.4"
"HD 159492",Debris,A5IV,5.33,42.2,5.4,228,40,0.9,100,"17 38 05.52","-54 30 01.6"
"HD 163296",HAe,A1e,6.9,101,7.4,747,48,148,0.6,"17 56 21.26","-21 57 21.6"
"HD 166",Debris,K0Ve,5.6,13.7,4.2,58,21,1,70,"00 06 36.78","+29 01 17.4"
"HD 16743",Debris,F0,6.86,58.9,12.56,740,54.2,2.1,100,"02 39 07.56","-52 56 05.3"
"HD 170773",Debris,F5,6.67,37,23.51,870,31.2,5.7,70,"18 33 00.92","-39 53 31.3"
"HD 172555",Debris,A5,4.93,29.2,0.54,16,47,1.2,18,"18 45 26.90","-64 52 16.5"
"HD 17848",Debris,A2V,5.34,50.5,15.28,772,67.3,3.7,70,"02 49 01.49","-62 48 23.5"
"HD 181296",Debris,A0V,5,48,0.5,24,90,1.1,18.3,"19 22 51.21","-54 25 26.1"
"HD 181327",Debris,F5,7.1,50.6,3.4,172,32,37.8,1.1,"19 22 58.94","-54 32 17.0"
"HD 181869",Debris,"B8 V",3.9,55.7,0.16,8.9,80,0.6,10.4,"19 23 53.18","-40 36 57.4"
"HD 182681",Debris,B8.5,5.62,69.9,11.53,806,67.2,2.8,70,"19 26 56.48","-29 44 35.6"
"HD 183324",Debris,A0IVp,5.87,59,5,295,2,1.2,70,"19 29 00.99","+01 57 01.6"
"HD 188228",Debris,A0,3.96,32.2,6.48,209,49,1.6,70,"20 00 35.56","-72 54 37.8"
"HD 191089",Debris,"F5 V",7,54,3.3,178,55,7,18.2,"20 09 05.21","-26 13 26.5"
"HD 192425",Debris,A1Va,5.04,47.1,9.6,452,63,1.6,100,"20 14 16.62","+15 11 51.4"
"HD 195627",Debris,F1III,4.84,27.8,23.2,645,53.9,5.6,70,"20 35 34.85","-60 34 54.3"
"HD 200775",HBe,B2Ve,7.5,430,4.65,2000,65,21.1,8.8,"21 01 36.92","+68 09 47.8"
"HD 202628",Debris,G2V,6.4,24.5,17,417,61,340,0.6,"21 18 27.27","-43 20 04.7"
"HD 206893",Debris,F5V,7.07,38.34,7.82,300,40,188.4,1.65,"21 45 21.90","-12 47 00.1"
"HD 207129",Debris,G2V,5.4,15.56,20.4,317,60,408,0.6,"21 48 15.75","-47 18 13.0"
"HD 20794",Debris,G6,3.7,6,10,60,50,1.7,70,"03 19 55.65","-43 04 11.2"
"HD 21997",Debris,A3,6.47,71.9,9.7,697,26.1,2.4,70,"03 31 53.65","-25 36 50.9"
"HD 23484",Debris,K2V,6.52,16.26,15.8,257,64,1.4,160,"03 44 09.17","-38 16 54.4"
"HD 28355",Debris,A7V,4.9,49.2,4.2,207,76,0.7,100,"04 28 50.16","+13 02 51.4"
"HD 30422",Debris,A3,6.27,57.5,3.8,219,31,0.9,70,"04 46 25.75","-28 05 14.8"
"HD 30447",Debris,F3V,7.5,80,5,400,88,52.9,1.1,"04 46 49.53","-26 18 08.8"
"HD 36546",Debris,B8,6.93,114,2,228,75,48.2,1.65,"05 33 30.76","+24 37 43.7"
"HD 377",Debris,G2V,7.1,39,4.4,172,85,46.5,1.1,"00 08 25.75","+06 37 00.5"
"HD 38206",Debris,A0V,5.82,69.2,5,346,60,1.2,70,"05 43 21.67","-18 33 26.9"
"HD 38858",Debris,G2,5.4,15.2,15,228,44,2.5,70,"05 48 34.94","-04 05 40.7"
"HD 50571",Debris,F5V,7.26,33.6,15.47,520,68.2,3.8,70,"06 50 01.02","-60 14 56.9"
"HD 53143",Debris,K1,6.9,18.4,12,221,45,240,0.6,"06 59 59.66","-61 20 10.3"
"HD 70313",Debris,A3V,5.63,51.4,5.8,298,76,1,100,"08 23 48.50","+53 13 11.0"
"HD 71155",Debris,"A0 V",3.9,37.5,0.1,3.8,30,0.4,10.4,"08 25 39.63","-03 54 23.1"
"HD 71722",Debris,A2IV,7.95,71.1,3.9,277,78,0.7,100,"14 56 54.47","-35 41 43.7"
"HD 74873",Debris,A1Vp,7.2,61,3.4,207,27,0.8,70,"08 46 56.02","+12 06 35.8"
"HD 92945",Debris,K1,7.2,21.6,10.2,220,63,204,0.6,"10 43 28.27","-29 03 51.4"
"HD 95086",Debris,A8III,7.5,90.4,12.01,1086,23.3,2.9,70,"10 57 03.02","-68 40 02.5"
"HR 4796A",Debris,A0,5.8,67,2.1,141,76,23.3,0.6,"12 36 01.07","-39 52 10.0"
"HR 8799",Debris,A5?,5.8,40,28.4,1136,26,5.1,70,"23 07 28.71","+21 08 03.3"
"Kappa CrB",Debris,K1IV,4.06,31.1,14.15,440,59,2.4,100,"15 51 13.93","+35 39 26.6"
"lambda Boo",Debris,A0p,4.1,30.3,5.6,170,48,0.9,70,"14 16 23.02","+46 05 17.9"
"MWC 480",HAe,A2e,7.8,161,1.3,209,36,9.3,1330,"04 58 46.26","+29 50 37.0"
"rho Vir",Debris,A0V,4.8,36.9,5,185,70,1.2,70,"12 41 53.06","+10 14 08.3"
"Tau Ceti",Debris,"G8 V",3.5,3.6,15.3,55,35,2.6,70,"01 44 04.08","-15 56 14.9"
Vega,Debris,A0,0.1,7.8,140,1092,0,8.2,70,"18 36 56.34","+38 47 01.3"
"zeta Lep",Debris,"A0 V",3.4,21.6,0.28,6,30,0.2,18.3,"05 46 57.34","-14 49 19.0"
